player,position,age,team,points_per_game,rebounds_per_game,assists_per_game
Luguentz Dort,SF,26,Oklahoma City Thunder,10.1,4.1,1.6
Jalen Williams,SG,24,Oklahoma City Thunder,21.6,5.3,5.1
Kenrich Williams,PF,30,Oklahoma City Thunder,6.3,3.5,1.4
Cason Wallace,SG,21,Oklahoma City Thunder,8.4,3.4,2.5
Isaiah Hartenstein,C,27,Oklahoma City Thunder,11.2,10.7,3.8
Alex Caruso,SG,31,Oklahoma City Thunder,7.1,2.9,2.5
Dillon Jones,SF,23,Oklahoma City Thunder,2.5,2.2,1.1
Jaylin Williams,PF,22,Oklahoma City Thunder,5.9,5.6,2.6
Ousmane Dieng,C,22,Oklahoma City Thunder,3.8,2.2,0.8
Adam Flagler  (TW),SG,25,Oklahoma City Thunder,1.8,0.7,0.3
Ajay Mitchell,SG,22,Oklahoma City Thunder,6.5,1.9,1.8
Chet Holmgren,C,23,Oklahoma City Thunder,15.0,8.0,2.0
Branden Carlson  (TW),C,25,Oklahoma City Thunder,3.8,1.7,0.4
Alex Ducas  (TW),SG,24,Oklahoma City Thunder,1.7,1.2,0.2
Nikola TopiÄ,PG,19,Oklahoma City Thunder,0.0,0.0,0.0
Jaden McDaniels,PF,24,Minnesota Timberwolves,12.2,5.7,2.0
Nickeil Alexander-Walker,SG,26,Minnesota Timberwolves,9.4,3.2,2.7
Naz Reid,C,25,Minnesota Timberwolves,14.2,6.0,2.3
Anthony Edwards,SG,23,Minnesota Timberwolves,27.6,5.7,4.5
Rudy Gobert,C,32,Minnesota Timberwolves,12.0,10.9,1.8
Mike Conley,PG,37,Minnesota Timberwolves,8.2,2.6,4.5
Julius Randle,PF,30,Minnesota Timberwolves,18.7,7.1,4.7
Donte DiVincenzo,SG,28,Minnesota Timberwolves,11.7,3.7,3.6
Rob Dillingham,PG,20,Minnesota Timberwolves,4.5,1.0,2.0
Josh Minott,SF,22,Minnesota Timberwolves,2.6,1.0,0.4
Jaylen Clark,SG,23,Minnesota Timberwolves,4.1,1.3,0.7
Luka Garza,C,26,Minnesota Timberwolves,3.5,1.4,0.3
Terrence Shannon Jr.,SG,24,Minnesota Timberwolves,4.3,1.5,1.0
Joe Ingles,SF,37,Minnesota Timberwolves,0.8,0.6,1.2
Leonard Miller,SF,21,Minnesota Timberwolves,1.5,0.8,0.0
Bones Hyland  (TW),PG,24,Minnesota Timberwolves,6.2,1.0,1.3
Tristen Newton  (TW),SG,24,Minnesota Timberwolves,0.4,0.5,0.3
Jesse Edwards  (TW),C,25,Minnesota Timberwolves,0.0,0.0,0.5
Buddy Hield,SG,32,Golden State Warriors,11.1,3.2,1.6
Kevon Looney,C,29,Golden State Warriors,4.5,6.1,1.6
Moses Moody,SG,22,Golden State Warriors,9.8,2.6,1.3
Stephen Curry,PG,37,Golden State Warriors,24.5,4.4,6.0
Draymond Green,PF,35,Golden State Warriors,9.0,6.1,5.6
Brandin Podziemski,SG,22,Golden State Warriors,11.7,5.1,3.4
Trayce Jackson-Davis,C,25,Golden State Warriors,6.6,5.0,1.7
Gary Payton II,SG,32,Golden State Warriors,6.5,3.0,1.3
Gui Santos,PF,22,Golden State Warriors,4.1,3.1,1.4
Jonathan Kuminga,PF,22,Golden State Warriors,15.3,4.6,2.2
Quinten Post,PF,25,Golden State Warriors,8.1,3.5,1.3
Pat Spencer,PG,28,Golden State Warriors,2.5,1.2,1.2
Jimmy Butler,SF,35,Golden State Warriors,17.5,5.4,5.4
Kevin Knox,SF,25,Golden State Warriors,3.3,1.2,0.4
Jackson Rowe  (TW),PF,28,Golden State Warriors,3.7,1.8,0.7
Braxton Key,SF,28,Golden State Warriors,1.0,0.7,0.0
Taran Armstrong  (TW),PG,23,Golden State Warriors,0.0,0.0,0.0
Jaylen Wells,SG,21,Memphis Grizzlies,10.4,3.4,1.7
Scotty Pippen Jr.,PG,24,Memphis Grizzlies,9.9,3.3,4.4
Jaren Jackson Jr.,C,25,Memphis Grizzlies,22.2,5.6,2.0
Desmond Bane,SG,26,Memphis Grizzlies,19.2,6.1,5.3
Zach Edey,C,23,Memphis Grizzlies,9.2,8.3,1.0
Santi Aldama,PF,24,Memphis Grizzlies,12.5,6.4,2.9
Luke Kennard,SG,28,Memphis Grizzlies,8.9,2.8,3.3
Brandon Clarke,PF,28,Memphis Grizzlies,8.3,5.1,1.0
Jay Huff,C,26,Memphis Grizzlies,6.9,2.0,0.6
Ja Morant,PG,25,Memphis Grizzlies,23.2,4.1,7.3
John Konchar,SG,29,Memphis Grizzlies,2.4,3.3,0.9
GG Jackson II,PF,20,Memphis Grizzlies,7.2,3.2,1.0
Vince Williams Jr.,SG,24,Memphis Grizzlies,6.6,3.6,2.0
Cam Spencer  (TW),SG,25,Memphis Grizzlies,4.2,1.2,1.4
Yuki Kawamura  (TW),PG,24,Memphis Grizzlies,1.6,0.5,0.9
Lamar Stevens,PF,27,Memphis Grizzlies,4.4,2.2,0.5
Marvin Bagley III,PF,26,Memphis Grizzlies,4.4,2.7,0.4
Zyon Pullin  (TW),SG,24,Memphis Grizzlies,0.0,0.0,0.0
